,home/away,won,goals,shots,hits,pim,power_plays,ppg,faceoffs(%),giveaways,takeaways
0,away,False,3,26,31,12,3,1,44.9,6,7
1,home,True,4,36,27,6,6,1,55.1,13,4
2,away,True,4,35,32,12,4,0,50.9,8,7
3,home,False,1,20,24,32,5,0,49.1,9,6
4,away,False,3,28,28,4,5,1,50.8,2,1
5,home,True,4,31,30,10,2,1,49.2,11,4
6,away,False,2,22,23,10,2,1,62.5,20,5
7,home,True,4,43,19,4,5,1,37.5,5,3
8,away,True,3,30,26,2,4,1,55.0,6,5
9,home,False,1,28,38,8,1,0,45.0,14,7
10,away,True,2,25,35,4,1,0,55.4,6,4
11,home,False,1,17,44,2,2,0,44.6,11,8
12,away,True,2,32,32,8,2,0,53.5,1,3
13,home,False,1,33,35,4,4,0,46.5,8,7
14,away,False,0,22,32,6,6,0,43.4,11,4
15,home,True,4,21,55,12,2,2,56.6,17,5
16,away,True,3,24,43,8,3,0,54.0,13,2
17,home,False,1,22,33,6,4,1,46.0,17,3
18,away,False,1,26,23,6,2,0,47.2,5,0
19,home,True,2,19,34,6,2,1,52.8,4,3
20,away,False,1,18,48,47,2,0,35.8,16,1
21,home,True,6,25,34,6,9,3,64.2,21,5
22,away,True,5,34,23,8,5,1,61.2,5,4
23,home,False,2,33,26,30,4,0,38.8,10,4
24,away,False,5,41,24,16,4,1,43.8,9,4
25,home,True,6,35,30,12,6,2,56.2,11,2
26,away,True,2,25,19,8,3,0,56.9,7,6
27,home,False,0,31,23,8,3,0,43.1,9,7
28,away,False,3,30,22,11,2,0,40.0,10,3
29,home,True,5,37,26,21,2,0,60.0,12,14
30,away,False,1,34,18,10,4,0,42.3,5,8
31,home,True,3,20,25,10,4,0,57.7,9,2
32,away,False,4,20,18,10,5,1,47.7,9,4
33,home,True,5,26,23,10,4,3,52.3,10,7
34,away,False,0,24,23,0,0,0,42.6,11,4
35,home,True,1,38,23,0,0,0,57.4,7,3
36,away,False,2,35,44,8,3,0,44.8,17,7
37,home,True,3,48,51,6,4,1,55.2,4,5
38,away,False,2,37,33,11,5,0,51.7,1,4
39,home,True,5,32,36,19,1,0,48.3,16,6
40,away,True,2,34,28,6,0,0,61.8,10,7
41,home,False,1,24,37,2,2,0,38.2,7,9
42,away,False,3,40,24,8,4,2,53.7,8,6
43,home,True,4,32,40,8,4,1,46.3,9,7
44,away,False,1,29,25,13,2,1,50.9,5,3
45,home,True,3,32,35,11,3,1,49.1,12,9
46,away,True,3,30,19,17,4,0,66.7,1,5
47,home,False,0,29,34,28,4,0,33.3,8,9
48,away,True,6,29,19,6,1,0,50.9,2,5
49,home,False,1,27,37,4,2,0,49.1,12,5
50,away,False,1,54,46,16,6,0,57.3,8,10
51,home,True,2,40,34,18,5,0,42.7,10,13
52,away,False,0,26,33,8,3,0,47.5,8,1
53,home,True,1,24,25,8,3,0,52.5,11,5
54,away,False,1,25,30,16,2,0,50.0,11,12
55,home,True,2,46,26,8,6,1,50.0,20,11
56,away,False,1,34,31,14,6,1,46.5,11,5
57,home,True,2,37,19,26,5,1,53.5,5,15
58,away,True,4,38,20,8,4,2,53.0,4,5
59,home,False,3,41,36,8,4,2,47.0,9,13
60,away,False,3,28,17,12,2,0,48.4,10,5
61,home,True,4,40,29,8,4,1,51.6,7,5
62,away,True,4,22,25,10,2,0,49.2,13,6
63,home,False,3,42,21,6,4,0,50.8,20,11
64,away,False,1,25,27,18,4,0,59.3,5,3
65,home,True,3,45,30,16,6,0,40.7,5,9
66,away,False,2,40,27,6,4,0,50.0,13,5
67,home,True,3,30,24,8,3,1,50.0,11,8
68,away,False,0,20,23,10,5,0,39.4,6,2
69,home,True,1,30,23,10,5,0,60.6,13,16
70,away,True,2,46,41,2,4,0,57.3,3,9
71,home,False,1,33,34,8,1,0,42.7,11,14
72,away,True,3,47,28,6,4,2,55.1,11,5
73,home,False,2,30,31,8,3,0,44.9,18,11
74,away,True,4,28,19,8,3,1,50.0,3,5
75,home,False,2,21,25,8,3,1,50.0,12,10
76,away,True,4,23,22,8,1,0,38.2,3,7
77,home,False,3,34,31,6,2,0,61.8,5,14
78,away,True,2,19,20,12,3,1,57.6,4,5
79,home,False,1,24,25,8,5,0,42.4,5,6
80,away,False,1,21,43,10,3,0,52.5,6,4
81,home,True,4,42,24,10,3,1,47.5,2,11
82,away,True,4,30,26,6,4,0,55.4,6,6
83,home,False,1,20,36,10,2,0,44.6,7,9
84,away,False,1,40,22,22,4,0,43.9,5,6
85,home,True,3,30,28,10,5,0,56.1,9,3
86,away,False,0,28,22,10,3,0,48.3,8,4
87,home,True,2,27,30,10,3,1,51.7,10,8
88,away,False,1,26,25,10,4,0,50.8,5,3
89,home,True,4,45,22,12,3,2,49.2,7,7
90,away,True,4,28,16,10,5,1,39.0,3,5
91,home,False,3,38,29,12,3,0,61.0,12,4
92,away,False,1,27,38,10,2,0,52.5,6,6
93,home,True,2,35,36,6,4,0,47.5,14,9
94,away,True,4,31,31,23,2,0,39.4,9,1
95,home,False,2,50,24,6,5,1,60.6,11,10
96,away,False,1,30,26,8,4,0,42.1,4,0
97,home,True,3,34,37,12,2,0,57.9,7,6
98,away,False,1,34,44,129,6,1,47.7,13,8
99,home,True,6,30,47,107,11,3,52.3,8,6
100,away,False,2,28,46,6,1,0,44.3,6,3
101,home,True,3,34,61,2,3,0,55.7,12,5
102,away,True,6,29,16,22,5,3,50.7,14,3
103,home,False,1,34,22,32,5,1,49.3,10,4
104,away,False,1,27,36,6,4,0,50.0,9,10
105,home,True,2,37,40,8,3,1,50.0,17,14
106,away,False,2,28,43,10,2,0,45.6,3,4
107,home,True,5,48,35,6,4,0,54.4,6,14
108,away,False,2,27,13,8,2,0,44.4,3,2
109,home,True,3,37,34,6,3,0,55.6,7,9
110,away,True,3,24,10,12,2,0,53.7,4,5
111,home,False,0,25,20,4,6,0,46.3,14,4
112,away,False,1,22,32,18,2,0,52.5,6,4
113,home,True,5,33,23,6,2,1,47.5,9,12
114,away,True,4,24,19,10,4,1,46.2,7,6
115,home,False,2,28,28,8,5,0,53.8,12,5
116,away,True,3,23,18,12,5,1,50.8,7,5
117,home,False,2,37,26,10,6,0,49.2,9,11
118,away,False,3,32,26,8,5,1,49.3,13,4
119,home,True,4,30,24,10,4,0,50.7,14,5
120,away,False,3,36,18,10,3,1,53.3,14,2
121,home,True,5,37,18,6,5,2,46.7,7,9
122,away,True,7,33,20,24,5,0,48.5,8,7
123,home,False,3,34,26,24,5,1,51.5,7,5
124,away,True,3,41,21,10,2,0,45.9,10,9
125,home,False,2,54,39,6,4,1,54.1,18,6
126,away,False,1,38,31,13,2,0,21.8,7,4
127,home,True,5,28,24,9,4,1,78.2,10,4
128,away,False,1,23,19,16,3,0,54.1,5,5
129,home,True,5,27,23,12,5,1,45.9,4,5
130,away,False,1,29,41,12,2,0,36.2,6,6
131,home,True,2,42,38,8,5,1,63.8,10,5
132,away,False,1,29,38,8,4,1,44.8,2,6
133,home,True,2,25,38,8,4,0,55.2,2,11
134,away,False,0,30,39,10,4,0,50.9,13,2
135,home,True,1,21,53,10,4,0,49.1,17,9
136,away,False,3,22,46,8,2,1,48.3,12,5
137,home,True,4,29,42,8,2,0,51.7,8,7
138,away,True,3,25,30,2,2,1,50.0,2,7
139,home,False,2,36,41,4,1,0,50.0,7,7
140,away,False,1,22,36,2,1,0,47.2,7,2
141,home,True,2,16,37,2,1,0,52.8,21,7
142,away,True,3,34,26,8,3,1,48.3,3,7
143,home,False,2,42,31,8,3,1,51.7,2,7
144,away,False,0,29,23,64,4,0,44.6,1,4
145,home,True,3,33,24,68,6,1,55.4,3,6
146,away,True,4,27,26,10,4,3,45.8,9,5
147,home,False,3,29,38,10,4,1,54.2,14,11
148,away,True,2,24,19,8,3,1,54.4,5,8
149,home,False,1,25,28,6,4,0,45.6,18,9
150,away,False,1,27,21,9,2,0,51.4,3,6
151,home,True,3,27,24,9,2,0,48.6,6,4
152,away,False,2,35,36,11,3,1,50.0,11,5
153,home,True,3,45,43,13,2,0,50.0,14,21
154,away,True,4,23,25,20,6,2,40.0,6,7
155,home,False,0,34,38,22,5,0,60.0,19,8
156,away,True,6,36,33,8,3,1,60.9,11,4
157,home,False,5,22,49,6,4,0,39.1,11,9
158,away,True,6,27,34,24,6,1,59.4,5,1
159,home,False,3,38,38,34,6,0,40.6,12,3
160,away,True,3,22,22,8,1,0,55.4,11,8
161,home,False,1,52,26,2,4,0,44.6,15,5
162,away,True,4,35,35,21,3,0,56.9,7,3
163,home,False,3,29,44,6,4,2,43.1,28,5
164,away,False,2,37,18,14,8,2,51.6,8,5
165,home,True,3,26,18,20,6,0,48.4,15,14
166,away,True,3,17,13,17,2,0,50.9,9,6
167,home,False,2,26,19,9,6,0,49.1,9,8
168,away,True,3,22,28,12,4,1,55.2,6,4
169,home,False,2,43,34,12,4,1,44.8,7,7
170,away,True,3,17,20,14,3,1,42.3,6,6
171,home,False,1,41,28,6,7,1,57.7,10,6
172,away,False,1,22,22,6,2,0,39.6,11,4
173,home,True,2,25,32,4,3,0,60.4,8,12
174,away,False,1,22,24,8,4,1,51.8,13,3
175,home,True,3,27,35,8,4,2,48.2,8,2
176,away,True,5,32,22,10,6,3,61.5,5,4
177,home,False,4,32,37,12,5,1,38.5,11,3
178,away,True,4,29,26,14,6,2,49.2,3,5
179,home,False,0,23,16,25,6,0,50.8,9,5
180,away,False,2,33,26,2,3,0,55.7,3,5
181,home,True,3,49,38,6,1,0,44.3,11,5
182,away,False,2,31,19,8,3,1,51.5,12,6
183,home,True,3,34,32,11,3,1,48.5,15,5
184,away,False,3,37,25,6,0,0,46.9,4,2
185,home,True,4,29,24,0,3,1,53.1,12,4
186,away,True,3,32,18,10,2,0,50.6,5,9
187,home,False,2,33,34,6,4,1,49.4,9,4
188,away,False,0,32,21,6,3,0,48.3,3,4
189,home,True,2,33,47,8,2,0,51.7,7,13
190,away,False,3,26,40,4,2,0,60.0,6,8
191,home,True,4,27,45,4,2,1,40.0,10,15
192,away,True,3,26,38,14,2,1,45.0,4,4
193,home,False,2,32,38,4,7,2,55.0,9,9
194,away,False,2,23,33,61,4,2,50.8,4,6
195,home,True,7,35,44,37,6,2,49.2,9,10
196,away,True,5,26,14,15,5,2,50.0,9,9
197,home,False,0,36,40,27,4,0,50.0,7,6
198,away,False,3,35,37,10,2,0,45.6,2,10
199,home,True,4,33,33,6,4,0,54.4,14,17
200,away,False,1,32,17,4,2,0,46.8,6,11
201,home,True,2,38,41,4,2,0,53.2,7,10
202,away,False,3,42,33,6,5,1,41.0,4,5
203,home,True,4,24,30,10,3,1,59.0,11,9
204,away,False,3,33,23,8,2,2,52.1,4,6
205,home,True,5,39,34,8,2,0,47.9,5,8
206,away,False,0,32,21,10,4,0,48.3,7,6
207,home,True,2,26,26,8,5,0,51.7,9,11
208,away,True,1,24,19,11,2,0,49.2,7,6
209,home,False,0,25,22,9,3,0,50.8,9,2
210,away,False,1,33,39,2,4,0,45.5,3,4
211,home,True,2,17,37,8,1,0,54.5,4,3
212,away,True,4,30,23,14,5,1,52.5,8,4
213,home,False,1,28,29,46,5,1,47.5,15,3
214,away,False,3,34,23,12,6,2,49.1,7,3
215,home,True,5,28,24,14,5,2,50.9,8,7
216,away,False,3,16,31,17,2,1,47.1,10,8
217,home,True,4,37,40,11,5,1,52.9,11,11
218,away,True,6,38,19,10,6,2,42.9,10,6
219,home,False,3,22,30,32,5,1,57.1,9,9
220,away,True,4,37,20,4,2,0,50.7,12,5
221,home,False,3,26,27,4,2,1,49.3,9,6
222,away,False,2,27,14,18,2,1,40.0,10,9
223,home,True,4,30,23,4,4,1,60.0,14,9
224,away,False,2,45,22,6,4,0,43.1,5,3
225,home,True,3,34,48,10,2,0,56.9,3,7
226,away,True,4,50,34,19,3,1,45.7,4,4
227,home,False,3,33,40,6,4,2,54.3,6,5
